seller_id,seller_name,seller_tier,fulfillment_type,seller_country,join_date
S00383,Nova General 382,T2,marketplace_fulfilled,cross_border,2024-08-04
S00384,Gulf Trading 383,T2,marketplace_fulfilled,local,2022-03-12
S00385,Falcon Retail 384,T2,seller_fulfilled,cross_border,2024-08-25
S00386,Emirates Retail 385,T3,marketplace_fulfilled,cross_border,2025-04-19
S00387,Nova Trading 386,T3,marketplace_fulfilled,local,2025-06-05
S00388,Falcon Retail 387,T2,marketplace_fulfilled,local,2024-06-08
S00389,Pearl Trading 388,T2,seller_fulfilled,local,2024-01-08
S00390,Prime Retail 389,,seller_fulfilled,cross_border,2022-11-24
S00391,Falcon General 390,T1,marketplace_fulfilled,local,2021-01-17
S00392,Desert General 391,T3,marketplace_fulfilled,local,2021-02-11
S00393,Falcon Retail 392,T2,seller_fulfilled,local,2025-10-09
S00394,Emirates General 393,T3,marketplace_fulfilled,local,2021-01-02
S00395,Sahara General 394,T3,seller_fulfilled,cross_border,2022-11-08
S00396,Pearl Commerce 395,T3,marketplace_fulfilled,local,2023-10-26
S00397,Emirates Retail 396,T2,marketplace_fulfilled,local,2023-09-09
S00398,Pearl Retail 397,T3,marketplace_fulfilled,local,2025-10-13
S00399,Sahara Mart 398,T3,seller_fulfilled,cross_border,15/10/2025
S00400,Emirates General 399,T1,marketplace_fulfilled,local,2025-02-02
S00401,Emirates Trading 400,T3,marketplace_fulfilled,local,2025-03-25
S00402,Falcon Commerce 401,T2,marketplace_fulfilled,local,2021-01-11
S00403,Prime Stores 402,T3,marketplace_fulfilled,local,2022-01-08
S00404,Prime Retail 403,T1,marketplace_fulfilled,local,2023-10-17
S00405,Pearl Trading 404,T1,seller_fulfilled,cross_border,2024-05-30
S00406,Pearl Stores 405,T3,marketplace_fulfilled,local,2023-10-09
S00407,Falcon General 406,T2,marketplace_fulfilled,local,2021-09-25
S00408,Gulf Trading 407,T2,seller_fulfilled, local ,2025-03-02
S00409,Nova Stores 408,,marketplace_fulfilled,cross_border,2021-08-30
S00410,Sahara Commerce 409,T3,seller_fulfilled,local,2021-10-08
S00411,Pearl Commerce 410,T3,marketplace_fulfilled,local,2023-10-05
S00412,Desert Mart 411,T1,marketplace_fulfilled,local,2022-12-04
S00413,Pearl Mart 412,,marketplace_fulfilled,local,2022-10-22
S00414,Pearl Commerce 413,T2,marketplace_fulfilled,local,2022-10-02
S00415,Desert Commerce 414,T1,seller_fulfilled,local,2024-11-27
S00416,Sahara Retail 415,T3,seller_fulfilled,local,2022-03-01
S00417,Prime Mart 416,,marketplace_fulfilled,local,2023-12-17
S00418,Falcon General 417,T3,marketplace_fulfilled,local,2021-05-21
S00419,Pearl Retail 418,T2,seller_fulfilled,local,2022-09-11
S00420,Nova Stores 419,T2,seller_fulfilled,local,2024-01-05
S00421,Prime Retail 420,T2,marketplace_fulfilled,local,2024-01-17
S00422,Desert Trading 421,T1,marketplace_fulfilled,local,2025-07-08
S00423,Desert Trading 422,T3,marketplace_fulfilled,cross_border,2026-01-17
S00424,Falcon Stores 423,T3,seller_fulfilled,local,2021-11-19
S00425,Falcon Mart 424,T3,seller_fulfilled,local,10/03/2022
S00426,Sahara Mart 425,T2,marketplace_fulfilled,cross_border,2021-07-02
S00427,Pearl Stores 426,T3,seller_fulfilled,local,2024-09-18
S00428,Pearl Retail 427,T2,marketplace fulfilled,local,2024-07-11
S00429,Prime Stores 428,T2,seller_fulfilled,local,2026-01-09
S00430,Falcon Trading 429,T3,marketplace_fulfilled,cross_border,2021-04-11
S00431,Desert Stores 430,T1,marketplace_fulfilled,local,2024-02-02
S00432,Pearl General 431,T1,marketplace_fulfilled,local,28/10/2024
S00433,Sahara Mart 432,T3,marketplace_fulfilled,local,2024-08-29
S00434,Desert General 433,T3,marketplace_fulfilled,local,2024-11-28
S00435,Emirates General 434,T3,seller_fulfilled,cross_border,2025-11-15
S00436,Desert Trading 435,T2,marketplace fulfilled,local,2021-11-17
S00437,Emirates Commerce 436,T1,seller_fulfilled,cross_border,2023-01-25
S00438,Nova Commerce 437,T2,marketplace_fulfilled,local,2025-08-12
S00439,Falcon Mart 438,T1,seller_fulfilled,local,2022-01-30
S00440,Nova Stores 439,T2,marketplace_fulfilled,cross_border,2024-04-21
S00441,Pearl Trading 440,T2,marketplace_fulfilled,local,2025-12-07
S00442,Sahara General 441,T3,marketplace_fulfilled,local,2025-12-28
S00443,Emirates General 442,T3,marketplace_fulfilled,local,2023-02-06
S00444,Desert Commerce 443,T3,marketplace_fulfilled,local,2025-08-26
S00445,Emirates Commerce 444,T2,marketplace_fulfilled,local,2025-02-27
S00446,Nova Commerce 445,T2,marketplace_fulfilled,local,2025-02-21
S00447,Falcon Commerce 446,T3,marketplace_fulfilled,local,2025-07-28
S00448,Gulf Stores 447,T3,marketplace_fulfilled,local,2022-05-31
S00449,Falcon Commerce 448,T2,seller_fulfilled,local,2022-10-24
S00450,Sahara Trading 449,,marketplace_fulfilled,local,2026-01-12
S00340,Falcon Stores 339,T1,seller_fulfilled,cross_border,2021-06-12
S00355,Nova Mart 354,T3,seller_fulfilled,local,2022-04-14
S00443,Emirates General 442,T3,marketplace_fulfilled,local,2023-02-06
S00290,Gulf Mart 289,T3,seller_fulfilled,local,2023-06-26
